Random-Discrete.parameter, Random-Discrete.points, Adapt-Discrete.parameter, Adapt-Discrete.points
5, 16.40, 0, 6.00
5, 17.30, 0, 3.00
5, 16.10, 0, 7.00
5, 16.40, 0, 6.00
5, 17.30, 0, 3.00
5, 18.20, 0, -0.00
5, 17.60, 0, 2.00
5, 17.00, 0, 4.00
5, 16.70, 0, 5.00
5, 17.90, 0, 1.00
5, 16.70, 0, 5.00
5, 16.40, 0, 6.00
5, 15.80, 0, 8.00
5, 17.00, 0, 4.00
5, 16.40, 0, 6.00
5, 17.60, 0, 2.00
5, 15.80, 0, 8.00
5, 18.50, 0, -1.00
5, 16.10, 0, 7.00
5, 17.60, 0, 2.00
5, 17.00, 0, 4.00
5, 16.70, 0, 5.00
5, 18.50, 0, -1.00
5, 15.80, 0, 8.00
5, 15.80, 0, 8.00
5, 17.30, 0, 3.00
5, 16.40, 0, 6.00
5, 17.60, 0, 2.00
5, 17.90, 0, 1.00
5, 17.90, 0, 1.00
5, 17.60, 0, 2.00
5, 15.80, 0, 8.00
5, 17.00, 0, 4.00
5, 17.00, 0, 4.00
5, 16.70, 0, 5.00
5, 17.60, 0, 2.00
5, 16.40, 0, 6.00
5, 17.00, 0, 4.00
5, 17.30, 0, 3.00
5, 17.00, 0, 4.00
5, 16.70, 0, 5.00
5, 16.70, 0, 5.00
5, 16.40, 0, 6.00
5, 16.40, 0, 6.00
5, 16.40, 0, 6.00
5, 17.30, 0, 3.00
5, 17.00, 0, 4.00
5, 17.60, 0, 2.00
5, 17.00, 0, 4.00
5, 17.90, 0, 1.00
5, 17.00, 0, 4.00
5, 15.80, 0, 8.00
5, 17.00, 0, 4.00
5, 16.40, 0, 6.00
5, 17.90, 0, 1.00
5, 16.40, 0, 6.00
5, 16.70, 0, 5.00
5, 16.70, 0, 5.00
5, 17.00, 0, 4.00
5, 16.70, 0, 5.00
5, 17.60, 0, 2.00
5, 17.60, 0, 2.00
5, 16.70, 0, 5.00
5, 18.20, 0, -0.00
5, 16.70, 0, 5.00
5, 17.90, 0, 1.00
5, 17.30, 0, 3.00
5, 16.70, 0, 5.00
5, 17.30, 0, 3.00
5, 18.20, 0, -0.00
5, 16.70, 0, 5.00
5, 17.60, 0, 2.00
5, 16.70, 0, 5.00
5, 16.40, 0, 6.00
5, 17.30, 0, 3.00
5, 16.70, 0, 5.00
5, 17.90, 0, 1.00
5, 17.60, 0, 2.00
5, 16.70, 0, 5.00
6, 17.00, 0, 4.00
6, 17.00, 0, 4.00
6, 17.30, 0, 3.00
6, 17.60, 0, 2.00
6, 18.50, 0, -1.00
6, 17.00, 0, 4.00
6, 18.20, 0, -0.00
6, 17.30, 0, 3.00
6, 16.70, 0, 5.00
6, 17.90, 0, 1.00
6, 17.30, 0, 3.00
6, 17.00, 0, 4.00
6, 17.90, 0, 1.00
6, 17.30, 0, 3.00
6, 17.60, 0, 2.00
6, 17.60, 0, 2.00
6, 17.90, 0, 1.00
6, 17.00, 0, 4.00
6, 18.50, 0, -1.00
6, 17.30, 0, 3.00
6, 17.30, 0, 3.00
6, 17.60, 0, 2.00
6, 17.90, 0, 1.00
6, 16.70, 0, 5.00
6, 17.30, 0, 3.00
6, 18.80, 0, -2.00
6, 17.00, 0, 4.00
6, 17.30, 0, 3.00
6, 15.80, 0, 8.00
6, 17.60, 0, 2.00
6, 18.50, 0, -1.00
6, 18.80, 0, -2.00
6, 18.20, 0, -0.00
6, 17.60, 0, 2.00
6, 18.20, 0, -0.00
6, 16.40, 0, 6.00
6, 17.90, 0, 1.00
6, 17.60, 0, 2.00
